id,name,school_id
1,Кабинет истории и методологии математики и механики,1
2,Кабинет методики преподавания элементарной математики,1
3,Кафедра Английского языка,1
4,Кафедра Высшей алгебры,1
5,Кафедра Высшей геометрии и топологии,1
6,Лаборатория геометрических методов математической физики,1
7,Кафедра Вычислительной математики,1
8,Лаборатория Компьютерного моделирования,1
9,Лаборатория вычислительных методов,1
10,Кафедра Дискретной математики,1
11,Кафедра Дифференциальной геометрии и приложений,1
12,Лаборатория компьютерных методов в естественных науках,1
13,Кафедра Дифференциальных уравнений,1
14,Кафедра Математических и компьютерных методов анализа,1
15,Кафедра Математического анализа,1
16,Кафедра Математической логики и теории алгоритмов,1
17,Лаборатория Логических проблем информатики,1
18,Кафедра Математической теории интеллектуальных систем,1
19,Кафедра Общей топологии и геометрии,1
20,Кафедра Общих проблем управления,1
21,Кафедра Теоретической информатики,1
22,Кафедра Теории вероятностей,1
23,Кабинет истории и методологии математики и механики,1
24,Лаборатория Больших случайных систем,1
25,Лаборатория вычислительных средств вероятностных и статистических исследований,1
26,Лаборатория теории вероятностей,1
27,Кафедра Теории динамических систем,1
28,Кафедра Теории чисел,1
29,Кафедра математической статистики и случайных процессов,1
30,Лаборатория Математической статистики,1
31,Кафедра теории функций и функционального анализа,1
32,"Лаборатория ""Многомерная аппроксимация и приложения""",1
33,Лаборатория операторных моделей и спектрального анализа,1
34,Отдел аспирантуры отделения математики,1
35,Кафедра Аэромеханики и газовой динамики,1
36,Кафедра Газовой и волновой динамики,1
37,Кафедра Вычислительной механики,1
38,Кафедра Гидромеханики,1
39,Кафедра Механики композитов,1
40,Кафедра Прикладной механики и управления,1
41,Кафедра Теоретической механики и мехатроники,1
42,Кафедра Теории пластичности,1
43,Кафедра Теории упругости,1
44,Кафедра Инженерной механики и прикладной математики,1
45,Лаборатория волновых процессов,1
46,Лаборатория многомасштабного моделирования,1
47,Отдел аспирантуры отделения механики,1